127.0.0.1 : 21000:197	 Issue time: 	1415801536836	 Dep numbers: 	20
null	 Ack time: 	1415801536846	 Dep numbers: 	0
127.0.0.1 : 21000:198	 Issue time: 	1415801536857	 Dep numbers: 	66
null	 Ack time: 	1415801536879	 Dep numbers: 	0
127.0.0.1 : 21000:199	 Issue time: 	1415801536888	 Dep numbers: 	16
null	 Ack time: 	1415801536898	 Dep numbers: 	0
15801536325	 Dep numbers: 	28
null	 Causal time: 	1415801536331	 Dep numbers: 	0
127.0.0.1 : 21000:191	 Eventual time: 	1415801536342	 Dep numbers: 	26
null	 Causal time: 	1415801536344	 Dep numbers: 	0
127.0.0.1 : 21000:192	 Eventual time: 	1415801536356	 Dep numbers: 	39
null	 Causal time: 	1415801536359	 Dep numbers: 	0
127.0.0.1 : 21000:193	 Eventual time: 	1415801536506	 Dep numbers: 	133
